file_type,file_number,file_date,documents,documents_xml,interactive_data,filing_number
10-Q,000-1003010545012,2010-01-25,https://www.sec.gov/Archives/edgar/data/320193/000119312510012085/0001193125-10-012085-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312510012085/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-10-012085&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003009957443,2009-07-22,https://www.sec.gov/Archives/edgar/data/320193/000119312509153165/0001193125-09-153165-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312509153165/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0001193125-09-153165&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q/A,000-1003009771032,2009-04-27,https://www.sec.gov/Archives/edgar/data/320193/000119312509087629/0001193125-09-087629-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003009766784,2009-04-23,https://www.sec.gov/Archives/edgar/data/320193/000119312509085781/0001193125-09-085781-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003009540297,2009-01-23,https://www.sec.gov/Archives/edgar/data/320193/000119312509009937/0001193125-09-009937-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003008966486,2008-07-23,https://www.sec.gov/Archives/edgar/data/320193/000119312508156421/0001193125-08-156421-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003008791791,2008-05-01,https://www.sec.gov/Archives/edgar/data/320193/000119312508097759/0001193125-08-097759-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003008566001,2008-02-01,https://www.sec.gov/Archives/edgar/data/320193/000119312508017426/0001193125-08-017426-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-10030071033384,2007-08-08,https://www.sec.gov/Archives/edgar/data/320193/000110465907059873/0001104659-07-059873-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003007834385,2007-05-10,https://www.sec.gov/Archives/edgar/data/320193/000110465907037745/0001104659-07-037745-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003007574245,2007-02-02,https://www.sec.gov/Archives/edgar/data/320193/000110465907006648/0001104659-07-006648-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-10030061303993,2006-12-29,https://www.sec.gov/Archives/edgar/data/320193/000110465906084286/0001104659-06-084286-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003006810345,2006-05-05,https://www.sec.gov/Archives/edgar/data/320193/000110465906031303/0001104659-06-031303-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003006578233,2006-02-03,https://www.sec.gov/Archives/edgar/data/320193/000110465906005910/0001104659-06-005910-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003005993572,2005-08-03,https://www.sec.gov/Archives/edgar/data/320193/000110465905035792/0001104659-05-035792-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003005800158,2005-05-04,https://www.sec.gov/Archives/edgar/data/320193/000110465905020421/0001104659-05-020421-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003005566739,2005-02-01,https://www.sec.gov/Archives/edgar/data/320193/000110465905003520/0001104659-05-003520-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003004952973,2004-08-05,https://www.sec.gov/Archives/edgar/data/320193/000110465904022384/0001104659-04-022384-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003004786157,2004-05-06,https://www.sec.gov/Archives/edgar/data/320193/000110465904013021/0001104659-04-013021-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003004579360,2004-02-10,https://www.sec.gov/Archives/edgar/data/320193/000110465904003080/0001104659-04-003080-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003003837724,2003-08-12,https://www.sec.gov/Archives/edgar/data/320193/000110465903017766/0001104659-03-017766-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003003696075,2003-05-13,https://www.sec.gov/Archives/edgar/data/320193/000110465903009489/0001104659-03-009489-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003003547782,2003-02-10,https://www.sec.gov/Archives/edgar/data/320193/000104746903004566/0001047469-03-004566-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003002725204,2002-08-09,https://www.sec.gov/Archives/edgar/data/320193/000091205702030796/0000912057-02-030796-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003002647345,2002-05-14,https://www.sec.gov/Archives/edgar/data/320193/000091205702020280/0000912057-02-020280-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003002534550,2002-02-11,https://www.sec.gov/Archives/edgar/data/320193/000091205702004945/0000912057-02-004945-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-100301707247,2001-08-13,https://www.sec.gov/Archives/edgar/data/320193/000091205701528148/0000912057-01-528148-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-100301633697,2001-05-14,https://www.sec.gov/Archives/edgar/data/320193/000091205701515409/0000912057-01-515409-index.htm,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-10030626787,2000-05-11,https://www.sec.gov/Archives/edgar/data/320193/0000912057-00-023442-index.html,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-10030518560,2000-02-01,https://www.sec.gov/Archives/edgar/data/320193/0000912057-00-003201-index.html,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003099680016,1999-08-06,https://www.sec.gov/Archives/edgar/data/320193/0000320193-99-000009-index.html,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003099617115,1999-05-11,https://www.sec.gov/Archives/edgar/data/320193/0000320193-99-000004-index.html,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003099524101,1999-02-08,https://www.sec.gov/Archives/edgar/data/320193/0000320193-99-000002-index.html,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003098680930,1998-08-10,https://www.sec.gov/Archives/edgar/data/320193/0000320193-98-000008-index.html,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003098615298,1998-05-11,https://www.sec.gov/Archives/edgar/data/320193/0000320193-98-000006-index.html,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q,000-1003098524718,1998-02-09,https://www.sec.gov/Archives/edgar/data/320193/0000320193-98-000003-index.html,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
10-Q/A,000-1003097691951,1997-10-07,https://www.sec.gov/Archives/edgar/data/320193/0000320193-97-000021-index.html,,no link,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=000-10030&owner=exclude&count=100
